"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2017","347.54","347.54","347.54","347.54","","1.13%"
"12/07/2017","343.67","343.67","343.67","343.67","","-0.07%"
"12/06/2017","343.90","343.90","343.90","343.90","","-1.35%"
"12/05/2017","348.62","348.62","348.62","348.62","","0.05%"
"12/04/2017","348.45","348.45","348.45","348.45","","-0.23%"
"12/01/2017","349.27","349.27","349.27","349.27","","0.39%"
"11/30/2017","347.93","347.93","347.93","347.93","","0.12%"
"11/29/2017","347.51","347.51","347.51","347.51","","-0.01%"
"11/28/2017","347.54","347.54","347.54","347.54","","0.25%"
"11/27/2017","346.67","346.67","346.67","346.67","","-0.19%"
"11/24/2017","347.34","347.34","347.34","347.34","","0.61%"
"11/23/2017","345.22","345.22","345.22","345.22","","-0.23%"
"11/22/2017","346.02","346.02","346.02","346.02","","0.41%"
"11/21/2017","344.59","344.59","344.59","344.59","","1.13%"
"11/20/2017","340.74","340.74","340.74","340.74","","0.02%"
"11/17/2017","340.66","340.66","340.66","340.66","","1.44%"
"11/16/2017","335.82","335.82","335.82","335.82","","-0.78%"
"11/15/2017","338.45","338.45","338.45","338.45","","-0.83%"
"11/14/2017","341.27","341.27","341.27","341.27","","-0.64%"
"11/13/2017","343.48","343.48","343.48","343.48","","-0.04%"
"11/10/2017","343.61","343.61","343.61","343.61","","-0.25%"
"11/09/2017","344.48","344.48","344.48","344.48","","0.47%"
"11/08/2017","342.86","342.86","342.86","342.86","","0.04%"
"11/07/2017","342.71","342.71","342.71","342.71","","0.83%"
"11/06/2017","339.90","339.90","339.90","339.90","","-0.01%"
"11/03/2017","339.92","339.92","339.92","339.92","","-0.04%"
"11/02/2017","340.05","340.05","340.05","340.05","","-0.38%"
"11/01/2017","341.35","341.35","341.35","341.35","","0.60%"
"10/31/2017","339.31","339.31","339.31","339.31","","0.04%"
"10/30/2017","339.17","339.17","339.17","339.17","","-0.07%"
"10/27/2017","339.40","339.40","339.40","339.40","","0.88%"
"10/26/2017","336.45","336.45","336.45","336.45","","0.49%"
"10/25/2017","334.80","334.80","334.80","334.80","","0.57%"
"10/24/2017","332.89","332.89","332.89","332.89","","-0.36%"
"10/23/2017","334.08","334.08","334.08","334.08","","0.23%"
"10/20/2017","333.30","333.30","333.30","333.30","","0.32%"
"10/19/2017","332.23","332.23","332.23","332.23","","0.17%"
"10/18/2017","331.66","331.66","331.66","331.66","","0.00%"
"10/17/2017","331.66","331.66","331.66","331.66","","0.05%"
"10/16/2017","331.51","331.51","331.51","331.51","","0.03%"
"10/13/2017","331.41","331.41","331.41","331.41","","0.51%"
"10/12/2017","329.74","329.74","329.74","329.74","","0.63%"
"10/11/2017","327.67","327.67","327.67","327.67","","-0.41%"
"10/10/2017","329.02","329.02","329.02","329.02","","0.02%"
"10/09/2017","328.97","328.97","328.97","328.97","","0.18%"
"10/06/2017","328.39","328.39","328.39","328.39","","0.71%"
"10/05/2017","326.07","326.07","326.07","326.07","","0.79%"
"10/04/2017","323.50","323.50","323.50","323.50","","-0.11%"
"10/03/2017","323.86","323.86","323.86","323.86","","-0.67%"
"10/02/2017","326.06","326.06","326.06","326.06","","1.27%"
"09/29/2017","321.96","321.96","321.96","321.96","","-0.18%"
"09/28/2017","322.54","322.54","322.54","322.54","","-0.39%"
"09/27/2017","323.81","323.81","323.81","323.81","","0.93%"
"09/26/2017","320.83","320.83","320.83","320.83","","-0.01%"
"09/25/2017","320.86","320.86","320.86","320.86","","-0.08%"
"09/22/2017","321.11","321.11","321.11","321.11","","0.20%"
"09/21/2017","320.48","320.48","320.48","320.48","","0.11%"
